Category,Restaurant Name,Price_Range_Int,google_place_id,google_formatted_address,google_lat,google_lng,google_types
Asian Fusion,The Captain’s Boil,2,ChIJJaB5qA3R1IkR7sucmVuRgj8,"4505 Sheppard Ave E, Scarborough, ON M1S 1V3",43.7879293,-79.2647375,"seafood_restaurant,asian_restaurant,american_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Asian Express,2,ChIJ6w93jEQ3K4gRpbFEs52KC0A,"250 Wincott Dr #3, Etobicoke, ON M9R 2R5",43.6796195,-79.5467089,"chinese_restaurant,asian_restaurant,meal_delivery,meal_takeaway,food_delivery,restaurant,point_of_interest,food,establishment"
Asian Fusion,Saigon Bistro,2,ChIJ2dC4PwE1K4gReXU7Ra6Fn6Q,"122 Atlantic Ave, Toronto, ON M6K 1X9",43.6396643,-79.4213752,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Sushi on Gerrard,2,ChIJWYoaT5nL1IkRLwpMK1qOkuc,"1289 Gerrard St E, Toronto, ON M4L 1Y6",43.6707537,-79.3280953,"japanese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Asian Buffet,2,ChIJCXVTqw06K4gRk2OdhvlNDtY,"161 Rexdale Blvd, Etobicoke, ON M9W 1P7",43.7109794,-79.5689499,"chinese_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Butler’s Pantry,2,ChIJ0UDhzTU0K4gR4yymWTf0S-k,"371 Roncesvalles Ave, Toronto, ON M6R 2M8",43.6501161,-79.4503603,"vegetarian_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,The Captain’s Boil,2,ChIJgXNoXyAzK4gRJNPWL1TX0nY,"2655 Yonge St, Toronto, ON M4P 2J6",43.7158333,-79.4,"seafood_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Sushiburri Toronto,2,ChIJzfV3scE0K4gRvFLV1jM3A7o,"285 College St, Toronto, ON M5T 1R9",43.6576385,-79.4009215,"sushi_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Westwood Grill,2,ChIJb-cj8Jo2K4gRQVgG4jAspMk,"519 Annette St, Toronto, ON M6P 1S1",43.6599474,-79.479628,"chinese_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Cafe Pho Nho,1,ChIJCaci2Uk0K4gRq8ygTZsi52c,"2060 Dundas St W, Toronto, ON M6R 1W9",43.6521116,-79.447655,"vietnamese_restaurant,asian_restaurant,vegetarian_restaurant,restaurant,point_of_interest,food,establishment"
